Scenario,Year,Agp,Index,A,M,L,U
Null,2013,60_80,Protection,0,0,0,0
Null,2013,60_80,N,9706818,9706818,9706818,9706818
Null,2013,60_80,N_Uptake_ZVL,0,0,0,0
Null,2013,60_80,N_Uptake_RZV,0,0,0,0
Null,2013,60_80,N_Covered_ZVL,0,0,0,0
Null,2013,60_80,N_Covered_RZV,0,0,0,0
Null,2013,60_80,N_HZ,70544.2217568905,70549.77911593724,68809.68948039097,72273.96109846904
Null,2013,60_80,N_HZ_GP,69497.2828485563,69495.95946171074,67768.05332113504,71222.42499008944
Null,2013,60_80,N_HZ_Hosp,1046.9389083342119,1040.5848149223139,880.4490510847731,1235.6671189615774
Null,2013,60_80,N_HZ_PHN,4089.5156894163597,4084.4253337726145,3798.6606160873034,4416.542732016496
Null,2013,60_80,N_HZ_PHN_GP,4020.3910725993705,4016.7173021836516,3732.0115376679214,4350.016321685234
Null,2013,60_80,N_HZ_Death,0.08534230696185276,0.08525902519065767,0.07146632696819304,0.10085196604137664
Null,2013,60_80,Coverage_ZVL,0,0,0,0
Null,2013,60_80,Coverage_RZV,0,0,0,0
Null,2013,60_80,Coverage,0,0,0,0
Null,2013,60_80,IncR_HZ,0.007267491958424532,0.0072680644796201226,0.007088799798285182,0.00744569034862599
Null,2013,60_80,IncR_HZ_Hosp,1.0785603565805105e-4,1.0720143459188313e-4,9.070418865222087e-5,1.2729888609857293e-4
Null,2013,60_80,IncR_HZ_PHN,4.213034270773759e-4,4.2077901674602474e-4,3.9133942926377144e-4,4.5499387461642903e-4
Null,2013,60_80,MorR_HZ,8.791996199151232e-9,8.783416480113018e-9,7.362487580192915e-9,1.0389807045045722e-8
Null,2013,80+,Protection,0,0,0,0
Null,2013,80+,N,2538132,2538132,2538132,2538132
Null,2013,80+,N_Uptake_ZVL,0,0,0,0
Null,2013,80+,N_Uptake_RZV,0,0,0,0
Null,2013,80+,N_Covered_ZVL,0,0,0,0
Null,2013,80+,N_Covered_RZV,0,0,0,0
Null,2013,80+,N_HZ,23963.279397702918,23962.653643786714,23255.92933841586,24659.514191734685
Null,2013,80+,N_HZ_GP,22403.33929233534,22402.57773519921,21681.680413683458,23089.08803236335
Null,2013,80+,N_HZ_Hosp,1559.9401053675804,1554.767547229707,1315.6451019624787,1841.8978762206127
Null,2013,80+,N_HZ_PHN,2163.808992457731,2158.0714136127876,1971.0089037362347,2396.3950372372233
Null,2013,80+,N_HZ_PHN_GP,2024.347322524038,2019.8429366484954,1835.3003573172778,2240.0109800238165
Null,2013,80+,N_HZ_Death,0.3181016653635322,0.3178966657353177,0.271692406931056,0.36961041986106347
Null,2013,80+,Coverage_ZVL,0,0,0,0
Null,2013,80+,Coverage_RZV,0,0,0,0
Null,2013,80+,Coverage,0,0,0,0
Null,2013,80+,IncR_HZ,0.009441305415834527,0.0094410588747105,0.00916261618324652,0.009715615339050406
Null,2013,80+,IncR_HZ_Hosp,6.146016461585057e-4,6.125637071790226e-4,5.183517255849888e-4,7.256903408572181e-4
Null,2013,80+,IncR_HZ_PHN,8.525202757215665e-4,8.502597239279863e-4,7.765588644468588e-4,9.441569773507536e-4
Null,2013,80+,MorR_HZ,1.2532904725346522e-7,1.2524827933902482e-7,1.0704423841276026e-7,1.4562300930805152e-7
Null,2014,60_80,Protection,0,0,0,0
Null,2014,60_80,N,9861762,9861762,9861762,9861762
Null,2014,60_80,N_Uptake_ZVL,0,0,0,0
Null,2014,60_80,N_Uptake_RZV,0,0,0,0
Null,2014,60_80,N_Covered_ZVL,0,0,0,0
Null,2014,60_80,N_Covered_RZV,0,0,0,0
Null,2014,60_80,N_HZ,71809.5588478845,71810.93005406582,70039.5767001231,73599.71187548008
Null,2014,60_80,N_HZ_GP,70739.47764651642,70728.60460275489,68988.47112285603,72514.27269629348
Null,2014,60_80,N_HZ_Hosp,1070.0812013680923,1064.1376863136607,901.5242850084818,1258.534078509822
