Scenario,Age0,Arm,Index,A,M,L,U
Vac_50,50,RZV_1d,N0,1,1,1,1
Vac_50,50,RZV_1d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_1d,Year_Life,33.81127790013805,33.81124565314095,33.81112681340661,33.81164862093539
Vac_50,50,RZV_1d,Year_Immunised,9.520922689370384,8.309011048646457,5.424498925616404,19.784079650141148
Vac_50,50,RZV_1d,Risk_HZ,0.18188085613975183,0.19228693518661094,0.09847969293720697,0.21055660527360123
Vac_50,50,RZV_1d,Risk_Hosp,0.005739270917619149,0.005963969829761499,0.002972005856244509,0.006958333849910407
Vac_50,50,RZV_1d,Risk_PHN,0.012216299354000643,0.012912717741906745,0.006364570846632244,0.01424300942538419
Vac_50,50,RZV_1d,Risk_Death,9.113499340574613e-7,9.841787473474257e-7,2.299124254863886e-7,1.1630087612007413e-6
Vac_50,50,RZV_1d,Q_Life,26.50878482128836,26.508762160255348,26.508679730810634,26.50903964335156
Vac_50,50,RZV_1d,Q_HZ,-0.024307551037232544,-0.02543542995645008,-0.02944698649261169,-0.013053372469875334
Vac_50,50,RZV_1d,Q_HZ_Norm,-0.008744831809517977,-0.009149079899693557,-0.010546532714859908,-0.004779286331563049
Vac_50,50,RZV_1d,Q_All,26.46725038985771,26.466073351960585,26.462060750283456,26.478793856245755
Vac_50,50,RZV_1d,Q_HZ_d,-0.024307551037232544,-0.02543542995645008,-0.02944698649261169,-0.013053372469875334
Vac_50,50,RZV_1d,Q_HZ_Norm_d,-0.008744831809517977,-0.009149079899693557,-0.010546532714859908,-0.004779286331563049
Vac_50,50,RZV_1d,Q_Life_d,26.50878482128836,26.508762160255348,26.508679730810634,26.50903964335156
Vac_50,50,RZV_1d,Q_All_d,26.484477270251123,26.4832999507166,26.479286760652943,26.49602546664002
Vac_50,50,RZV_1d,C_Hosp,23.181285859582434,24.06292866965878,12.005373866001454,28.510359645198847
Vac_50,50,RZV_1d,C_GP_NonPHN,16.84787495507878,17.774324994579054,9.205498003896453,19.602008150254232
Vac_50,50,RZV_1d,C_GP_PHN,5.410236383663845,5.680668553907704,2.797831425814695,6.470471191936381
Vac_50,50,RZV_1d,C_GP,22.258111338742623,23.5106917958485,11.918931724225057,25.833627959095733
Vac_50,50,RZV_1d,C_Med,45.43939719832506,47.77219763924579,24.42602291619361,53.17818599300413
Vac_50,50,RZV_1d,C_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,C_Vac,85,85,85,85
Vac_50,50,RZV_1d,C_All,130.43939719832505,132.7721976392458,109.4260229161936,138.17818599300412
Vac_50,50,RZV_1d,C_Hosp_d,23.181285859582434,24.06292866965878,12.005373866001454,28.510359645198847
Vac_50,50,RZV_1d,C_GP_NonPHN_d,16.84787495507878,17.774324994579054,9.205498003896453,19.602008150254232
Vac_50,50,RZV_1d,C_GP_PHN_d,5.410236383663845,5.680668553907704,2.797831425814695,6.470471191936381
Vac_50,50,RZV_1d,C_GP_d,22.258111338742623,23.5106917958485,11.918931724225057,25.833627959095733
Vac_50,50,RZV_1d,C_Med_d,45.43939719832506,47.77219763924579,24.42602291619361,53.17818599300413
Vac_50,50,RZV_1d,C_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,C_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,C_All_d,130.43939719832505,132.7721976392458,109.4260229161936,138.17818599300412
Vac_50,50,RZV_1d,N_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,N_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV_d,1,1,1,1
Vac_50,50,RZV_2d,N0,1,1,1,1
Vac_50,50,RZV_2d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_2d,Year_Life,33.81131696433626,33.81126926651748,33.81113969264939,33.81175937582893
Vac_50,50,RZV_2d,Year_Immunised,12.40605975063971,10.915525448241818,7.276553992029792,24.116730950258567
Vac_50,50,RZV_2d,Risk_HZ,0.16400676375104603,0.17649741096826294,0.06784512867822534,0.2013541888144435
Vac_50,50,RZV_2d,Risk_Hosp,0.005432963082815541,0.005774335006361165,0.0020967962763002485,0.006846940661276471
Vac_50,50,RZV_2d,Risk_PHN,0.011289603634442435,0.012218891428732455,0.0044571952631801606,0.013842191911676816
Vac_50,50,RZV_2d,Risk_Death,8.556251850232869e-7,9.527723417777977e-7,1.1727972145175896e-7,1.1424812160824312e-6
Vac_50,50,RZV_2d,Q_Life,26.50881242586058,26.508779558832025,26.508688990744773,26.509117306165656
Vac_50,50,RZV_2d,Q_HZ,-0.02210431489050787,-0.023663658936421365,-0.028205677592442698,-0.009036443999046781
Vac_50,50,RZV_2d,Q_HZ_Norm,-0.007841836158237943,-0.00838653515330261,-0.009950292570484874,-0.0032891135260474562
Vac_50,50,RZV_2d,Q_All,26.4694809683807,26.467874227360728,26.46329140597976,26.482864490671727
Vac_50,50,RZV_2d,Q_HZ_d,-0.02210431489050787,-0.023663658936421365,-0.028205677592442698,-0.009036443999046781
Vac_50,50,RZV_2d,Q_HZ_Norm_d,-0.007841836158237943,-0.00838653515330261,-0.009950292570484874,-0.0032891135260474562
Vac_50,50,RZV_2d,Q_Life_d,26.50881242586058,26.508779558832025,26.508688990744773,26.509117306165656
Vac_50,50,RZV_2d,Q_All_d,26.48670811097007,26.485101095683078,26.480518072828318,26.500096754759774
Vac_50,50,RZV_2d,C_Hosp,22.028651599028205,23.353825036481126,8.476328348211053,27.98324939129976
Vac_50,50,RZV_2d,C_GP_NonPHN,15.138806579126404,16.27294980988839,6.333701564550062,18.650586302107673
